Thumbnail,Track Name,Author Time,Top Time,10k Time,Top Time % Difference,10k Time % Difference,Top Time Difference,10k Time Difference,Completed
https://prod.trackmania.core.nadeo.online/storageObjects/014a626c-50c3-463b-9b0f-4deb4e120f40.jpg,Summer 2022 - 23,58.797,50.498,57.941,1.46,14.11,0.8559999999999945,8.299,False
https://prod.trackmania.core.nadeo.online/storageObjects/075d6674-0e27-451b-baa0-a8559c3573f4.jpg,Summer 2022 - 24,56.986,51.976,56.784,0.35,8.79,0.20199999999999818,5.009999999999998,False
https://prod.trackmania.core.nadeo.online/storageObjects/dcf5c1db-fab7-46a3-80ab-11d8bfc237b9.jpg,Summer 2022 - 25,66.651,63.234,66.578,0.11,5.13,0.07299999999999329,3.4169999999999945,False
https://prod.trackmania.core.nadeo.online/storageObjects/143d3c3a-2ee0-4bf8-aa1c-4f8dbd163c7d.jpg,Spring 2022 - 1,24.302,23.243,23.503,3.29,4.36,0.7989999999999995,1.059000000000001,False
https://prod.trackmania.core.nadeo.online/storageObjects/1ba63b6c-c071-4ae2-a339-a9978db21ac8.jpg,Spring 2022 - 2,20.086,19.048,19.624,2.3,5.17,0.46199999999999974,1.0380000000000003,False
https://prod.trackmania.core.nadeo.online/storageObjects/c3be15bd-a0e8-49c2-9750-621c973f8a04.jpg,Spring 2022 - 3,25.672,20.484,23.396,8.87,20.21,2.276,5.187999999999999,False
https://prod.trackmania.core.nadeo.online/storageObjects/4f7e619e-df21-42c0-813b-f29d2449b55b.jpg,Spring 2022 - 4,24.658,22.732,24.065,2.4,7.81,0.593,1.926000000000002,False
https://prod.trackmania.core.nadeo.online/storageObjects/94f9f3c4-842b-4549-b616-96482dd9befc.jpg,Spring 2022 - 5,29.892,28.452,29.413,1.6,4.82,0.4789999999999992,1.4399999999999977,False
https://prod.trackmania.core.nadeo.online/storageObjects/36ea3e09-de21-4325-bf4d-7622359515ec.jpg,Spring 2022 - 6,36.415,34.071,35.746,1.84,6.44,0.6689999999999969,2.344000000000001,False
https://prod.trackmania.core.nadeo.online/storageObjects/aabfa2c9-d756-4e50-8e7c-a3120fb4a46b.jpg,Spring 2022 - 7,37.065,32.958,35.185,5.07,11.08,1.8799999999999955,4.106999999999999,False
https://prod.trackmania.core.nadeo.online/storageObjects/07256c1a-9ad6-4541-9b0a-16befd5797bf.jpg,Spring 2022 - 8,26.598,25.511,25.906,2.6,4.09,0.6920000000000002,1.0869999999999997,False
https://prod.trackmania.core.nadeo.online/storageObjects/57200639-2ad0-40cd-a255-879874a057cf.jpg,Spring 2022 - 9,31.096,28.25,29.803,4.16,9.15,1.2929999999999993,2.846,False
https://prod.trackmania.core.nadeo.online/storageObjects/f0eedd2f-788c-4b84-8989-c9a0b98dee4f.jpg,Spring 2022 - 10,32.314,29.311,31.874,1.36,9.29,0.4400000000000013,3.003,False
https://prod.trackmania.core.nadeo.online/storageObjects/ed2894fa-a954-453a-93ef-64225f514cee.jpg,Spring 2022 - 11,40.627,36.552,39.462,2.87,10.03,1.1649999999999991,4.075000000000003,False
https://prod.trackmania.core.nadeo.online/storageObjects/696e1389-f6b9-4d46-81f0-ad3c46044a6d.jpg,Spring 2022 - 12,40.412,36.11,39.073,3.31,10.65,1.3389999999999986,4.302,False
https://prod.trackmania.core.nadeo.online/storageObjects/f2b40098-7210-4aa0-a38d-f2b37c7b9c68.jpg,Spring 2022 - 13,42.593,38.65,42.305,0.68,9.26,0.2880000000000038,3.943000000000005,False
https://prod.trackmania.core.nadeo.online/storageObjects/2bb29159-8123-4ec9-890d-5ee9514c75e9.jpg,Spring 2022 - 14,40.536,34.704,39.541,2.45,14.39,0.9950000000000045,5.832000000000001,False
https://prod.trackmania.core.nadeo.online/storageObjects/94f9b6d8-ce02-44e1-a22a-62401c6016f8.jpg,Spring 2022 - 15,47.902,44.06,47.373,1.1,8.02,0.5290000000000035,3.8419999999999987,False
https://prod.trackmania.core.nadeo.online/storageObjects/80af54a3-2d30-4d2c-a0b5-5a66a5f45f79.jpg,Spring 2022 - 16,58.996,55.261,58.311,1.16,6.33,0.6850000000000023,3.7349999999999994,False
https://prod.trackmania.core.nadeo.online/storageObjects/39bdcfc7-4948-4348-b1e0-7944cd40d662.jpg,Spring 2022 - 17,50.586,47.648,50.156,0.85,5.81,0.4299999999999997,2.9379999999999953,False
https://prod.trackmania.core.nadeo.online/storageObjects/e52803db-8308-4c00-aae6-9d25f01f9ecd.jpg,Spring 2022 - 18,55.774,46.853,54.253,2.73,15.99,1.5210000000000008,8.921,False
https://prod.trackmania.core.nadeo.online/storageObjects/c204b2be-8fec-49f5-b350-001b69120c1b.jpg,Spring 2022 - 19,53.998,49.245,53.215,1.45,8.8,0.7829999999999941,4.753,False
https://prod.trackmania.core.nadeo.online/storageObjects/e056dba5-b396-4d47-83c7-f0e30c68fbe6.jpg,Spring 2022 - 20,64.325,55.763,63.612,1.11,13.31,0.713000000000001,8.562000000000005,False
https://prod.trackmania.core.nadeo.online/storageObjects/67d0e29e-c540-4192-97e5-b52afd90dc25.jpg,Spring 2022 - 21,62.997,56.386,61.991,1.6,10.49,1.0060000000000002,6.610999999999997,False
